"idBank";"Dernière mise à jour";"﻿Base de l'indice";"Correction";"Zone géographique";"Nature";"Série arrêtée";"Unité";"Puissance";"Indicateur";"Périodicité"
"001515333";"13/10/2023 08:45";"4ème trimestre de 1998";"Non corrigé";"France métropolitaine";"Indice";"non";"sans objet";"0";"Indice de référence des loyers (IRL)";"Trimestrielle"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
