"Libellé";"Indice de référence des loyers (IRL)";"Codes";""
"idBank";"001515333";"";""
"Dernière mise à jour";"14/04/2023 08:45";"";""
"Période";"";"";"Date de parution au JO"
"2023-T1";"138.61";"A";""
"2022-T4";"137.26";"A";"31/01/2023"
"2022-T3";"136.27";"A";"15/10/2022"
"2022-T2";"135.84";"A";"14/07/2022"
"2022-T1";"133.93";"A";"16/04/2022"
"2021-T4";"132.62";"A";"15/01/2022"
"2021-T3";"131.67";"A";"16/10/2021"
"2021-T2";"131.12";"A";"16/07/2021"
"2021-T1";"130.69";"A";"17/04/2021"
"2020-T4";"130.52";"A";"17/01/2021"
"2020-T3";"130.59";"A";"16/10/2020"
"2020-T2";"130.57";"A";"17/07/2020"
"2020-T1";"130.57";"A";"25/06/2020"
"2019-T4";"130.26";"A";"16/01/2020"
"2019-T3";"129.99";"A";"16/10/2019"
"2019-T2";"129.72";"A";"17/07/2019"
"2019-T1";"129.38";"A";"12/04/2019"
"2018-T4";"129.03";"A";"16/01/2019"
"2018-T3";"128.45";"A";"28/11/2018"
"2018-T2";"127.77";"A";"13/07/2018"
"2018-T1";"127.22";"A";"13/04/2018"
"2017-T4";"126.82";"A";"13/01/2018"
"2017-T3";"126.46";"A";"13/10/2017"
"2017-T2";"126.19";"A";"16/07/2017"
"2017-T1";"125.9";"A";"14/04/2017"
"2016-T4";"125.5";"A";"14/01/2017"
"2016-T3";"125.33";"A";"13/10/2016"
"2016-T2";"125.25";"A";"14/07/2016"
"2016-T1";"125.26";"A";"14/04/2016"
"2015-T4";"125.28";"A";"15/01/2016"
"2015-T3";"125.26";"A";"16/10/2015"
"2015-T2";"125.25";"A";"23/07/2015"
"2015-T1";"125.19";"A";"17/04/2015"
"2014-T4";"125.29";"A";"17/01/2015"
"2014-T3";"125.24";"A";"22/10/2014"
"2014-T2";"125.15";"A";"25/07/2014"
"2014-T1";"125.0";"A";"18/04/2014"
"2013-T4";"124.83";"A";"17/01/2014"
"2013-T3";"124.66";"A";"23/10/2013"
"2013-T2";"124.44";"A";"16/07/2013"
"2013-T1";"124.25";"A";"16/04/2013"
"2012-T4";"123.97";"A";"12/01/2013"
"2012-T3";"123.55";"A";"13/10/2012"
"2012-T2";"122.96";"A";"17/07/2012"
"2012-T1";"122.37";"A";"18/04/2012"
"2011-T4";"121.68";"A";"15/01/2012"
"2011-T3";"120.95";"A";"15/10/2011"
"2011-T2";"120.31";"A";"22/07/2011"
"2011-T1";"119.69";"A";"16/04/2011"
"2010-T4";"119.17";"A";"16/01/2011"
"2010-T3";"118.7";"A";"16/10/2010"
"2010-T2";"118.26";"A";"22/07/2010"
"2010-T1";"117.81";"A";"16/04/2010"
"2009-T4";"117.47";"A";"17/01/2010"
"2009-T3";"117.41";"A";"16/10/2009"
"2009-T2";"117.59";"A";"25/07/2009"
"2009-T1";"117.7";"A";"17/04/2009"
"2008-T4";"117.54";"A";"17/01/2009"
"2008-T3";"117.03";"A";"21/11/2008"
"2008-T2";"116.07";"A";"17/07/2008"
"2008-T1";"115.12";"A";"19/04/2008"
"2007-T4";"114.3";"A";"16/02/2008"
"2007-T3";"113.68";"A";"14/02/2008"
"2007-T2";"113.37";"A";"14/02/2008"
"2007-T1";"113.07";"A";"14/02/2008"
"2006-T4";"112.77";"A";"14/02/2008"
"2006-T3";"112.43";"A";"14/02/2008"
"2006-T2";"111.98";"A";"14/02/2008"
"2006-T1";"111.47";"A";"14/02/2008"
"2005-T4";"111.01";"A";""
"2005-T3";"110.57";"A";""
"2005-T2";"110.08";"A";""
"2005-T1";"109.64";"A";""
"2004-T4";"109.2";"A";""
"2004-T3";"108.72";"A";""
"2004-T2";"108.28";"A";""
"2004-T1";"107.8";"A";""
"2003-T4";"107.49";"A";""
"2003-T3";"107.06";"A";""
"2003-T2";"106.61";"A";""
"2003-T1";"106.17";"A";""
"2002-T4";"105.61";"A";""
