Table;Position;Nom;Description;DVF+;DV3F v1;DV3F v2;DV3F v3;DV3F v4;Contrainte;Correspondance FF
suf;1;iddisposuf;identifiant pour clef primaire;X;X;X;X;X;PK;
suf;2;iddispopar;identifiant de la table disposition_parcelle;X;X;X;X;X;U;
suf;3;idmutation;identifiant de clef primaire de la table mutation;X;X;X;X;X;;
suf;4;nbsufidt;nombre de suf identiques;X;X;X;X;X;U;
suf;5;sterr;surface de terrain ayant muté;X;X;X;X;X;;
suf;6;natcult;libellé de nature de culture;X;X;X;X;X;;
suf;7;natcultspe;groupe de nature de culture spéciale;X;X;X;X;X;;
suf;8;idsufinvar;identifiant invariant de la table suf;X;X;X;X;X;U;
suf;9;coddep;code du département;X;X;X;X;X;C;
suf;10;nodcnt;type de la suf;X;X;X;X;X;;
